Country,Currency,City,Center,Description
Australia,AUD,Sydney ,"Suite 1A, Level 8, 189 Kent Street, Sydney 2000.",
Australia,AUD,Melbourne,"Suite 4, Level 12, 55 Swanston Street, Melbourne 3000",
Australia,AUD,Canberra,"Unit 2, 20 Allara Street, Canberra,",
Australia,AUD,Perth ,"Level 1, Room 22, 195 Adelaide Terrace (Good Earth Hotel), Perth WA – 6004.",
UK,GBP,Glasgow,"Central Chambers, 2nd floor, Suite 201-202, 93 Hope Street, Glasgow, G2 6LD",
UK,GBP,Leicester,"Peepul's Centre, Leicester, Orchardson Avenue, Leicester, L E4 6DP. ",
UK,GBP,Liverpool,"SUITE NO 207, Second Floor, GRAEME HOUSE, DERBY SQUARE, LIVERPOOL, L2 7ZH",
UK,GBP,Bristol,"Suite 102A, QC30 Queen Charlotte Street, Bristol BS1 4HJ",
UK,GBP,Belfast,"Office 404, 4th Floor, Premier Business Centre, 20 Adelaide Street, Belfast. BT2 8GD ",
UK,GBP,London,"142-148 Goswell Road, London EC1V 7DU",
UK,GBP,London,"The Vista Centre, First Floor – Part A, Block50, Salisbury Road, Hounslow, TW4 6JQ",
South Africa,ZAR,Johannesburg,"2nd floor, Harrow Court 1, Isle of Houghton Office Park, Boundary Rd, Park Town, Johannesburg, 2198",
South Africa,ZAR,Durban,"Office 401, 4th Floor, 91-123 Cowey Office Park (Problem Mkhize Road), Essenwood, Durban ,4001",
South Africa,ZAR,Cape Town,"01st Floor, 47 Strand Street, Cape Town , 8001",
Switzerland,CHF,Bern,"Weststrasse 2, 3005 Bern",
Switzerland,CHF,Genève,"70 Rue de Lausanne, 1202 Genève",
